Impact,Lithium scenario,IAM scenario,Year,Country,Intensity,Total
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,AR,20.425517828605418,12.725465266542091
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,BO,29.98622388125912,1.4843180821223265
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,CL,2.966942237813757,1.1068385704120867
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,CN,30.93900040642012,4.858358968570253
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,DE,16.823220397479883,0.3730717355345139
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,US,2.029388871252265,0.05449720874860832
Water scarcity,S&P-Baseline,SSP2-NDC,2020,World,6.908680231346554,1.2220004506403472
Water scarcity,S&P-Baseline,SSP2-NDC,2020,AR,7.55615758186075,0.23970398696936857
Water scarcity,S&P-Baseline,SSP2-NDC,2020,CL,6.059109852988448,0.679832125505304
Water scarcity,S&P-Baseline,SSP2-NDC,2020,CN,11.393530167228814,0.26154987851890477
Water scarcity,S&P-Baseline,SSP2-NDC,2020,US,4.0914484582988475,0.040914484582988485
Water scarcity,S&P-Baseline,SSP2-NDC,2025,World,6.46991716580413,2.969398244864768
Water scarcity,S&P-Baseline,SSP2-NDC,2025,AR,5.277311760924283,0.5891696396131088
Water scarcity,S&P-Baseline,SSP2-NDC,2025,CL,6.041991902419552,1.6471738744295206
Water scarcity,S&P-Baseline,SSP2-NDC,2025,CN,10.19062919030591,0.7143794112471489
Water scarcity,S&P-Baseline,SSP2-NDC,2025,US,4.068704058997847,0.018675351630800117
Water scarcity,S&P-Baseline,SSP2-NDC,2030,World,6.809803730736789,4.152325493442872
Water scarcity,S&P-Baseline,SSP2-NDC,2030,AR,6.397307817022081,1.1836938653835958
Water scarcity,S&P-Baseline,SSP2-NDC,2030,CL,6.02519193672031,1.919583974695534
Water scarcity,S&P-Baseline,SSP2-NDC,2030,CN,10.157824681722687,1.0299221601292268
Water scarcity,S&P-Baseline,SSP2-NDC,2030,US,4.033212523325744,0.01912549378561068
Water scarcity,S&P-Baseline,SSP2-NDC,2035,World,7.328979284665158,4.850450412218525
Water scarcity,S&P-Baseline,SSP2-NDC,2035,AR,7.973778401625596,1.9372214888965373
Water scarcity,S&P-Baseline,SSP2-NDC,2035,CL,6.0178437961825395,1.863347099518573
Water scarcity,S&P-Baseline,SSP2-NDC,2035,CN,10.044931704093544,1.0184757153414525
Water scarcity,S&P-Baseline,SSP2-NDC,2035,US,4.005879262465411,0.03140609341772883
Water scarcity,S&P-Baseline,SSP2-2°C,2020,World,6.908680231346554,1.2220004506403472
Water scarcity,S&P-Baseline,SSP2-2°C,2020,AR,7.55615758186075,0.23970398696936857
Water scarcity,S&P-Baseline,SSP2-2°C,2020,CL,6.059109852988448,0.679832125505304
Water scarcity,S&P-Baseline,SSP2-2°C,2020,CN,11.393530167228814,0.26154987851890477
Water scarcity,S&P-Baseline,SSP2-2°C,2020,US,4.0914484582988475,0.040914484582988485
Water scarcity,S&P-Baseline,SSP2-2°C,2025,World,6.464989559042097,2.9671366970743422
Water scarcity,S&P-Baseline,SSP2-2°C,2025,AR,5.250575412256974,0.5861847401751931
Water scarcity,S&P-Baseline,SSP2-2°C,2025,CL,6.047126496084315,1.6485736724890023
Water scarcity,S&P-Baseline,SSP2-2°C,2025,CN,10.180953193319397,0.7137011083767992
Water scarcity,S&P-Baseline,SSP2-2°C,2025,US,4.069108513073694,0.018677208075008254
Water scarcity,S&P-Baseline,SSP2-2°C,2030,World,6.775915663419081,4.131662007179429
