Impact,Lithium scenario,Source,Variation,2035 intensity var
Climate change,S&P-Very Ambitious,Direct emissions,-39.99999999999999,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-29.999999999999993,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-19.999999999999996,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,-9.999999999999998,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,0.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,10.000000000000009,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,20.000000000000018,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,30.000000000000004,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,40.000000000000014,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,50.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,60.00000000000001,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,70.00000000000001,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,80.0,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,90.00000000000001,16.603208767887285
Climate change,S&P-Very Ambitious,Direct emissions,100.0,16.603208767887285
Water scarcity,S&P-Baseline,Electricity,-100.0,6.4144371937406675
Water scarcity,S&P-Baseline,Electricity,-90.0,6.505891416208084
Water scarcity,S&P-Baseline,Electricity,-80.0,6.5973456386755
Water scarcity,S&P-Baseline,Electricity,-70.0,6.688799861142916
Water scarcity,S&P-Baseline,Electricity,-60.0,6.78025408361033
Water scarcity,S&P-Baseline,Electricity,-50.0,6.871708306077746
Water scarcity,S&P-Baseline,Electricity,-39.99999999999999,6.963162528545164
Water scarcity,S&P-Baseline,Electricity,-29.999999999999993,7.0546167510125795
Water scarcity,S&P-Baseline,Electricity,-19.999999999999996,7.146070973479994
Water scarcity,S&P-Baseline,Electricity,-9.999999999999998,7.237525195947411
Water scarcity,S&P-Baseline,Electricity,0.0,7.328979418414827
Water scarcity,S&P-Baseline,Electricity,10.000000000000009,7.4204336408822416
Water scarcity,S&P-Baseline,Electricity,20.000000000000018,7.511887863349657
Water scarcity,S&P-Baseline,Electricity,30.000000000000004,7.603342085817073
Water scarcity,S&P-Baseline,Electricity,40.000000000000014,7.694796308284489
Water scarcity,S&P-Baseline,Electricity,50.0,7.7862505307519045
Water scarcity,S&P-Baseline,Electricity,60.00000000000001,7.877704753219321
Water scarcity,S&P-Baseline,Electricity,70.00000000000001,7.969158975686737
Water scarcity,S&P-Baseline,Electricity,80.0,8.060613198154153
Water scarcity,S&P-Baseline,Electricity,90.00000000000001,8.152067420621568
Water scarcity,S&P-Baseline,Electricity,100.0,8.243521643088984
Water scarcity,S&P-Baseline,Heat,-100.0,7.195619627385278
Water scarcity,S&P-Baseline,Heat,-90.0,7.2089556064882325
Water scarcity,S&P-Baseline,Heat,-80.0,7.222291585591188
Water scarcity,S&P-Baseline,Heat,-70.0,7.235627564694143
Water scarcity,S&P-Baseline,Heat,-60.0,7.248963543797097
Water scarcity,S&P-Baseline,Heat,-50.0,7.262299522900051
Water scarcity,S&P-Baseline,Heat,-39.99999999999999,7.275635502003007
Water scarcity,S&P-Baseline,Heat,-29.999999999999993,7.288971481105961
Water scarcity,S&P-Baseline,Heat,-19.999999999999996,7.302307460208916
Water scarcity,S&P-Baseline,Heat,-9.999999999999998,7.315643439311872
Water scarcity,S&P-Baseline,Heat,0.0,7.328979418414827
Water scarcity,S&P-Baseline,Heat,10.000000000000009,7.342315397517781
