Production scenario,Project scenario,Impact,Country,Intensity,Total,GLO intensity
Operating+Announced,2035 +Optimized,Water scarcity,BO,6.759742618620253,0.4022046858079051,0.35654507750169157
Operating+Announced,2035 +Optimized,Climate change,CL,3.1136322344830414,0.986389350987524,0.8744111642763406
Operating+Announced,2035 +Optimized,Water scarcity,CL,5.9681530149358455,1.890692970672631,1.6760552413910426
Operating+Announced,2035 +Optimized,Climate change,CN,23.04976356286799,4.0619272965437405,3.600803853996173
Operating+Announced,2035 +Optimized,Water scarcity,CN,7.8890429090764025,1.3902406698698075,1.2324159436110471
Operating+Announced,2035 +Optimized,Climate change,DE,3.085952558622347,0.06843408394000915,0.06066522003127858
Operating+Announced,2035 +Optimized,Water scarcity,DE,0.907455083700621,0.020123723936144967,0.017839212131561977
Operating+Announced,2035 +Optimized,Climate change,US,1.8882894689590748,0.014804189436639147,0.013123568810327583
Operating+Announced,2035 +Optimized,Water scarcity,US,3.465255691192824,0.02716760461895174,0.024083448145170966
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,World,15.050738725120265,16.978155139682574,15.050738725120265
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,World,13.427143259431645,15.146640009163535,13.427143259431645
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,AR,17.96813911919234,9.802051124858282,8.689289810157279
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,AR,19.609113018525687,10.697241770318207,9.48285544806916
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,BO,17.912630966664658,1.065801542516547,0.9448082207562286
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,BO,7.296803874962997,0.43415983056029833,0.38487256836479256
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,CL,2.2807947033541622,0.7225489196384886,0.640522772711578
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,CL,6.219199960759731,1.9702238899688005,1.746557547268644
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,CN,30.213877387172865,5.3244178821464985,4.719972326100643
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,CN,11.309545447691917,1.9930161643604225,1.7667623671679376
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,DE,2.384020985333285,0.05286804937075092,0.04686629327153195
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,DE,1.0996400804765263,0.024385618424647443,0.021617282239459464
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,US,1.3351627668677672,0.010467676092243295,0.009279350826245734
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,US,3.5220538552653147,0.027612902225280067,0.02447819409210277
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,World,7.495891084601784,8.455824266759743,7.495891084601784
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,World,7.251709238035057,8.180372187694374,7.251709238035057
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,AR,9.396991148984458,5.126284199558597,4.544331435512564
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,AR,7.955193636175931,4.339749053181238,3.847086364487069
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,BO,15.802479492467226,0.9402475298017999,0.833507515484465
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,BO,6.7820507221006086,0.4035320179649862,0.35772172651528117
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,CL,2.160580004149549,0.6844652635745647,0.606762499442796
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,CL,6.010723035230949,1.9041790253920592,1.6880103145038083
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,CN,9.323606471223902,1.643045557686579,1.4565215831024947
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,CN,8.42546584833187,1.4847714000228978,1.3162152321275973
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,DE,2.3177463625537635,0.051398343335992254,0.045563433134497136
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,DE,0.9456243601992611,0.02097016581177881,0.01858956312148725
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,US,1.3244158540036262,0.010383420295388428,0.009204660026561881
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,US,3.465634608921995,0.02717057533394844,0.024086081614760228
