Market scenario,Li scenario,Impact,Country,Intensity,Total,GLO intensity
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,BO,7.4815321164428745,0.37033583976392226,0.3715742036912744
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,CL,3.0524617173904556,0.9922240484697893,0.9955419408732347
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,CL,5.855043759359923,1.9032229592862584,1.9095871358131398
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,CN,21.322365641190835,3.3482564072276073,3.3594526229567663
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,CN,7.109960891612791,1.1164789363001795,1.120212323922733
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,DE,3.0020538869267654,0.06657354699648796,0.06679616190507709
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,DE,0.9046760408979233,0.02006209588295235,0.020129181412304204
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,US,1.7689970953793486,0.013868937227774093,0.013915313488803904
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,US,3.457197382780351,0.02710442748099795,0.027195061823289516
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,World,5.533139067688233,5.514698498460395,5.533139067688233
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,World,7.06838029613634,7.044823151704391,7.06838029613634
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,AR,5.893472166957779,2.564037574845319,2.5726114456407783
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,AR,7.751205398171431,3.3722704253500546,3.3835469414190693
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,BO,15.308293025534619,0.7577605047639636,0.7602943758450613
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,BO,10.37778301615204,0.513700259299526,0.515418018701353
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,CL,2.2438997800201896,0.7293953307940227,0.7318343517297501
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,CL,5.8589276527971474,1.9044854460352825,1.9108538441844882
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,CN,8.928310882477785,1.4020148899532072,1.4067030796418838
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,CN,7.681831191876222,1.2062798725181212,1.2103135449851705
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,DE,2.306925943664186,0.05115838972669699,0.05132945797777241
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,DE,0.9434065802568159,0.02092098432377515,0.020990941885343527
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,US,1.3178294712241163,0.010331783054397073,0.010366331445522136
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,US,3.4650686084226634,0.027166137890033682,0.027256978585414218
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,World,19.24055670628429,21.0158299620422,19.24055670628429
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,World,7.935917207174393,8.668142464108055,7.935917207174393
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,AR,23.111310702788753,12.26434058278469,11.228333160025343
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,AR,8.145590184162273,4.322571469488289,3.957430262134371
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,BO,40.51331443660057,2.0054090646117286,1.8360058535232364
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,BO,15.651043250160793,0.7747266408829594,0.7092830448619231
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,CL,3.8134168060128477,1.2395778267121185,1.1348667889768904
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,CL,5.503942444105176,1.7890950190534967,1.6379645357429662
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,CN,32.58515077059032,5.116854371793491,4.684617589507963
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,CN,10.749875293908456,1.6880556048712687,1.5454602386652796
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,DE,16.69248169986706,0.37017247417625193,0.3389028410183057
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,DE,3.14533875586474,0.0697510322500565,0.06385894317535977
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,US,2.484184055409551,0.019476002994410883,0.01783080376566347
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,US,3.0539258675877634,0.023942778801888068,0.021920256971806183
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,World,12.596971895435258,13.759259850554358,12.596971895435258
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,World,5.627398350362268,6.146622920804731,5.627398350362268
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,AR,15.557680555252084,8.255900994172292,7.558499070783539
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,AR,5.105714163807193,2.7094187010225803,2.4805455816995154
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,BO,21.867397477392913,1.0824361751309493,0.9909993869457766
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,BO,7.4815321164428745,0.3703358397639223,0.3390524066009691
