Impact category,LCI dataset,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_boiler_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29
Water scarcity,"treatment of waste gypsum, inert material landfill|waste gypsum|RoW",-0.0004201661180778265,-0.0004096566646367176,-0.0004096566646367176,-0.0004096566646367176,-0.00040965666462044266
Water scarcity,"market for wastewater, average|wastewater, average|RoW",-0.08983831235191814,-0.08362898094451734,-0.08362898094451734,-0.08362898094451734,-0.08362898092462534
Water scarcity,"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction|heat, district or industrial, other than natural gas|RoW",0.0029468624321169045,0.002941176929402252,0.002941176929402252,0.002941176929402252,0.002941176929251034
Water scarcity,"heat production, natural gas, at industrial furnace >100kW|heat, district or industrial, natural gas|EUR",0.0005629616526382125,0.00048774550917747843,0.00048774550917747843,0.00048774550917747843,0.00048774550920680794
Water scarcity,"heat production, natural gas, at industrial furnace >100kW|heat, district or industrial, natural gas|CHA",0.001097050092714062,0.0010339435702421801,0.0010339435702421801,0.0010339435702421801,0.0010339435674386944
Water scarcity,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical|electricity, high voltage|AR",0.017211446767615803,0.01656028118824701,0.01656028118824701,0.01656028118824701,0.016560281187713452
Water scarcity,"market for solvent, organic|solvent, organic|GLO",0.49515408706967534,0.48731738230903987,0.48731738230903987,0.48731738230903987,0.48731738228892685
Water scarcity,"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction|electricity, high voltage|RoW",0.0647449980514256,0.06462008288639941,0.06462008288639941,0.06462008288639941,0.06462008288328401
Water scarcity,"heat production, light fuel oil, at industrial furnace 1MW|heat, district or industrial, other than natural gas|LAM",0.0019239659480415733,0.0015550537019137502,0.0015550537019137502,0.0015550537019137502,0.0015550537017894471
Water scarcity,"market for electricity, medium voltage|electricity, medium voltage|AR",0.35564030582093475,0.49305844376976693,0.49305844376976693,0.49305844376976693,0.4930584437691744
Water scarcity,"market for soda ash, light (prospective)|soda ash, light|GLO",0.2904674566347422,0.20752617666740666,0.20752617666740666,0.20752617666740666,0.20752617661598738
Water scarcity,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical|heat, district or industrial, natural gas|LAM",0.0009561914979015868,0.0009200156331761375,0.0009200156331761375,0.0009200156331761375,0.000920015633153888
Water scarcity,market for cationic resin|cationic resin|RoW,1.0024711100193373,0.9833499109530833,0.9833499109530833,0.9833499109530833,0.9833499109311934
Water scarcity,"heat production, natural gas, at industrial furnace >100kW|heat, district or industrial, natural gas|LAM",0.0017102416414893622,0.0012619870673258701,0.0012619870673258701,0.0012619870673258701,0.0012619870670901123
Water scarcity,market for calcium chloride|calcium chloride|RoW,1.088675841631833,1.0798403166840091,1.0798403166840091,1.0798403166840091,1.0798403166684367
Water scarcity,"heat production, propane, at industrial furnace >100kW|heat, district or industrial, other than natural gas|RoW",0.002700874869110075,0.002348510727412314,0.002348510727412314,0.002348510727412314,0.0023485107260649936
Water scarcity,"market for hazardous waste, for underground deposit|hazardous waste, for underground deposit|RoW",-0.06427337487061176,-0.06387128086800284,-0.06387128086800284,-0.06387128086800284,-0.0638712808236962
Water scarcity,"market for electricity, medium voltage|electricity, medium voltage|BO",0.027643641446718124,0.023642229934532497,0.023642229934532497,0.023642229934532497,0.02364222993118897
Water scarcity,"transport, freight, lorry >32 metric ton, EURO3|transport, freight, lorry >32 metric ton, EURO3|RoW",0.00959810115927488,0.013551640654298012,0.013551640654298012,0.013551640654298012,0.01355164065338446
Water scarcity,"market for electricity, medium voltage|electricity, medium voltage|US-WECC",0.07128387754911863,0.03855138319988235,0.03855138319988235,0.03855138319988235,0.03855138319880929
Water scarcity,"market for hydrochloric acid, without water, in 30% solution state|hydrochloric acid, without water, in 30% solution state|RoW",0.49915599947981,0.3611807360557226,0.3611807360557226,0.3611807360557226,0.36118073593125605
