Scenario,LCI flow,Units,Reference flow,Chaerhan,East Taijinar,Fenix,Kachi,Lakkor Tso,Maricunga,Pozuelos,Qinghai Yiliping,Sal de Vida,Sal de los Angeles,Salar de Arizaro,Salar de Atacama,Salar de Cauchari-Olaroz,Salar de Centenario,Salar de Olaroz,Salar de Pastos Grandes,Salar de Tolillar,Salar de Uyuni,Salar del Hombre Muerto North,Salar del Rincon,Silver Peak,Tres Quebradas,Upper Rhine Graben,Zhabuye
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Sal de los Angeles', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,298.9969895884418,,,,,,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Arizaro', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,232.8894198076385,,,,,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Atacama', 'heat, central or small-scale, other than natural gas', 'CL')",megajoule,1 kg Li2CO3,,,,,,,,,,,,12.434790888797986,,,,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Cauchari-Olaroz', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,12.25128776285082,,,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Centenario', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,192.47637314700216,,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Olaroz', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,8.264350159512414,,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Pastos Grandes', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,14.538998526410625,,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Tolillar', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,275.90477451359834,,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar de Uyuni', 'heat, central or small-scale, other than natural gas', 'BO')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,99.98095380771551,,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar del Hombre Muerto North', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,21.943674296360218,,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Salar del Rincon', 'heat, central or small-scale, other than natural gas', 'AR')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,215.14205476021414,,,,
lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,"('heat production, at heat pump 30kW, allocation exergy, Silver Peak', 'heat, central or small-scale, other than natural gas', 'US-WECC')",megajoule,1 kg Li2CO3,,,,,,,,,,,,,,,,,,,,,6.707090677199582,,,
