scenario,project,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Very Ambitious,#12,0.0,0.0,0.0,0.004206041404927078,0.0,0.0219969031534047,0.025356369105937877,0.02960289387456537,0.02765775164127675,0.035468742164071386,0.0457474374555711,0.05441483538432638,0.05610120926692162,0.05421804754182513,0.05152603494474647,0.04913230553748744
S&P-Very Ambitious,#17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009578298057740374,0.01609232383736874,0.016615495024587944,0.016057759020628327,0.015260465655701489,0.01455151482244426
S&P-Very Ambitious,#6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007489541043171736,0.015590655896295116,0.017198284757733495,0.021593188644573956,0.02530535337281137,0.0244559229677556,0.023241647358668124,0.026594300619758014
S&P-Very Ambitious,#9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011983265669074778,0.019488319870368895,0.023960650324474305,0.022562722814715327,0.02115325099140048,0.02044319512720626,0.019428157860057856,0.018525589811723434
S&P-Very Ambitious,#13,0.0,0.02670524936378802,0.026743123580709745,0.02868969368122698,0.023231697727451442,0.018771294295037533,0.016307422688948074,0.015157169053177951,0.01416122420442912,0.01228283840363117,0.010839505606640832,0.010207100272290109,0.00956947243146235,0.009248251829486458,0.008789061365153937,0.008380750601973077
S&P-Very Ambitious,#11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007989017705943064,0.01194282214744165,0.018128035143417143,0.015997844481643698,0.01506448805788702,0.014123423824433481,0.013649339726763755,0.01994412243142029,0.0300985429647548
S&P-Very Ambitious,#3,0.0,0.0,0.008398167183993764,0.0075866547707919875,0.006143351419359911,0.004963849771270766,0.00431230767107787,0.004008136517129773,0.003744770521585868,0.003897663974073779,0.010318970854640099,0.01943386978011656,0.024293139237898914,0.029347107561306717,0.027889976830401748,0.026594300619758014
S&P-Very Ambitious,#24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011989137950038578,0.021237342582017777,0.03248053311728149,0.028663807929555828,0.026991485805717447,0.02530535337281137,0.0244559229677556,0.023241647358668124,0.02216191718313168
S&P-Very Ambitious,#18,0.6343319444365922,0.663717803648659,0.6903293425242875,0.6630736269672197,0.6108948651411497,0.5575018810508708,0.4809223508631515,0.4434890828381614,0.4319113466022536,0.3886477678468187,0.3529603980829646,0.33043408787132184,0.3082809491430722,0.29657013017154116,0.2802719551640732,0.2662816402921384
S&P-Very Ambitious,#4,0.06740200928318228,0.056402595834321015,0.04321024979508471,0.050687957854615426,0.05762463631359597,0.07313934806981198,0.0733092304083238,0.06813832079120614,0.06366109886695975,0.05521690629937853,0.04872847348024491,0.02999509834617768,0.02812133309613782,0.027177378075607442,0.025827977876740713,0.02462809532727057
S&P-Very Ambitious,#10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01202440955138932,0.022468623129515208,0.02923247980555334,0.025797427136600246,0.0242923372251457,0.022774818035530234,0.02201033067098004,0.02091748262280131,0.01994572546481851
S&P-Very Ambitious,#2,0.1119465849535558,0.08401576106159069,0.07083686056355061,0.06733914774554968,0.06052184084296611,0.06786773961272242,0.05895959540204507,0.05480084571680511,0.05896066290826518,0.05715664373714259,0.07433213327524135,0.08499510914277202,0.07968554555684809,0.0872029736445855,0.10547524404310768,0.10057521256048818
S&P-Very Ambitious,#8,0.0,0.0,0.0,0.0,0.0,0.00395122441793153,0.005148895359266977,0.004785715001452949,0.007453591246164512,0.0335199101770345,0.03439656951546699,0.04016333087890756,0.05338721011768761,0.051595149803533344,0.049033368265529315,0.04675543991959657
S&P-Very Ambitious,#5,0.05653582392482996,0.022362459691666406,0.01679633436798753,0.015173309541583975,0.012286702838719823,0.006665457472862386,0.005863013509597472,0.005412587552732046,0.005269641077975633,0.004753850827045319,0.004096631429292119,0.005002062149515557,0.0053282952061791625,0.006409408291389387,0.007288580611678323,0.0069499772286300944
S&P-Very Ambitious,#23,0.0,0.0,0.0,0.0,0.0,0.011516131469348177,0.030898546924807153,0.031909576440173545,0.029812867076449413,0.02585840202533014,0.022819830768877985,0.021488461679647772,0.026219382736637317,0.031208692417612274,0.04081512175950426,0.04423784612759281
S&P-Very Ambitious,#22,0.0,0.0,0.0,0.0,0.005071950931823543,0.006850112684353658,0.01293692301323361,0.018517590709139553,0.020596237868722275,0.022346606784689665,0.02912242885642872,0.04210671785691922,0.05567177742018502,0.05820509666325833,0.05531512071363013,0.052745362895853395
S&P-Very Ambitious,#20,0.0,0.0,0.0,0.0,0.0,0.0,0.038251893965529145,0.035553774161547945,0.013287044973870114,0.0230492256770827,0.025425944185833202,0.023942527569103606,0.0224468606558186,0.021693381909317928,0.020616270873032975,0.019658507018125125
S&P-Very Ambitious,#19,0.0,0.0,0.0,0.0,0.002948808681292758,0.011009421684696858,0.015986586998219882,0.014858963696303497,0.013882613277623131,0.012041183237238596,0.010626246875644937,0.010006283617895573,0.009381200602368632,0.009066299762606356,0.008616143508805447,0.008215865938130576
