Project name,Impact,SA scenario,Total
East Taijinar,Climate change,2035_BAT_NG_15CCS,13.404211132039938
Silver Peak,Climate change,2035_BAT_NG_15CCS,1.9221480396031398
Salar del Rincon,Climate change,2035_BAT_NG_15CCS,16.80549387620183
Salar del Hombre Muerto North,Climate change,2035_BAT_NG_15CCS,8.588123457890553
Zhabuye,Climate change,2035_BAT_NG_15CCS,2.847635197269642
Salar de Atacama,Climate change,2035_BAT_NG_15CCS,3.046245407341955
Chaerhan,Climate change,2035_BAT_NG_15CCS,23.40668107832813
Sal de los Angeles,Climate change,2035_BAT_NG_15CCS,29.439300900883527
Sal de Vida,Climate change,2035_BAT_NG_15CCS,3.444097013397716
Pozuelos,Climate change,2035_BAT_NG_15CCS,20.543082112843518
Lakkor Tso,Climate change,2035_BAT_NG_15CCS,30.45244397117057
Salar de Uyuni,Climate change,2035_BAT_NG_15CCS,23.15669373822711
Qinghai Yiliping,Climate change,2035_BAT_NG_15CCS,22.47950788614405
Salar de Centenario,Climate change,2035_BAT_NG_15CCS,21.549694736292754
Salar de Olaroz,Climate change,2035_BAT_NG_15CCS,2.8957287715956275
Kachi,Climate change,2035_BAT_NG_15CCS,30.169292215464157
Fenix,Climate change,2035_BAT_NG_15CCS,21.99826979073979
Salar de Cauchari-Olaroz,Climate change,2035_BAT_NG_15CCS,6.572816563418026
Salar de Tolillar,Climate change,2035_BAT_NG_15CCS,30.379423018671325
Maricunga,Water scarcity,2035_BAT_NG_15CCS,15.821767828872899
Tres Quebradas,Water scarcity,2035_BAT_NG_15CCS,7.4442259827408135
Salar de Pastos Grandes,Water scarcity,2035_BAT_NG_15CCS,10.139768622291399
Salar de Arizaro,Water scarcity,2035_BAT_NG_15CCS,8.19993840458862
Upper Rhine Graben,Water scarcity,2035_BAT_NG_15CCS,0.9010167097825995
East Taijinar,Water scarcity,2035_BAT_NG_15CCS,6.578962890587432
Silver Peak,Water scarcity,2035_BAT_NG_15CCS,3.4602002899049307
Salar del Rincon,Water scarcity,2035_BAT_NG_15CCS,35.31099883184315
Salar del Hombre Muerto North,Water scarcity,2035_BAT_NG_15CCS,1.5769169659151852
Zhabuye,Water scarcity,2035_BAT_NG_15CCS,3.3550987194160964
Salar de Atacama,Water scarcity,2035_BAT_NG_15CCS,5.423738136650446
Chaerhan,Water scarcity,2035_BAT_NG_15CCS,6.885430656312052
Sal de los Angeles,Water scarcity,2035_BAT_NG_15CCS,4.720029706477302
Sal de Vida,Water scarcity,2035_BAT_NG_15CCS,0.4326579516174568
Pozuelos,Water scarcity,2035_BAT_NG_15CCS,15.54020247688116
Lakkor Tso,Water scarcity,2035_BAT_NG_15CCS,10.378839915811863
Salar de Uyuni,Water scarcity,2035_BAT_NG_15CCS,6.697948923788151
Qinghai Yiliping,Water scarcity,2035_BAT_NG_15CCS,9.283703611590786
Salar de Centenario,Water scarcity,2035_BAT_NG_15CCS,3.996634899243309
Salar de Olaroz,Water scarcity,2035_BAT_NG_15CCS,1.9091202806573322
Kachi,Water scarcity,2035_BAT_NG_15CCS,5.458508289007758
Fenix,Water scarcity,2035_BAT_NG_15CCS,3.691595728486149
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_NG_15CCS,1.5354973397229696
Salar de Tolillar,Water scarcity,2035_BAT_NG_15CCS,3.344805543151394
Maricunga,Climate change,2035_BAT_Fuel mix_0CCS,5.135981413327579
Tres Quebradas,Climate change,2035_BAT_Fuel mix_0CCS,4.087689818820751
Salar de Pastos Grandes,Climate change,2035_BAT_Fuel mix_0CCS,11.729808384775747
Salar de Arizaro,Climate change,2035_BAT_Fuel mix_0CCS,39.82517907277316
Upper Rhine Graben,Climate change,2035_BAT_Fuel mix_0CCS,3.1539409158842306
East Taijinar,Climate change,2035_BAT_Fuel mix_0CCS,13.469712306773708
Silver Peak,Climate change,2035_BAT_Fuel mix_0CCS,1.9166227888619025
