Project name,LCI dataset,Technology,Status,Impact,Scenario,Electricity,Heat,Reagents,Direct emissions,Other,Total_contrib,Total
Salar de Cauchari-Olaroz,df_rotary_dryer_Salar de Cauchari-Olaroz,Evaporitic,Operating,Climate change,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,0.5418357549570241,1.8465385810712978,5.862902351967501,0.0,1.960560947664118,10.21183763565994,10.2118362030391
Salar de Cauchari-Olaroz,df_rotary_dryer_Salar de Cauchari-Olaroz,Evaporitic,Operating,Water scarcity,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,0.5728335653651156,0.04135387374530338,0.7787201208549975,0.16867705613087747,0.44541802740272446,2.0070026434990185,2.0070024707936396
Chaerhan,df_rotary_dryer_Chaerhan,DLE,Operating,Climate change,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,7.554762507810232,25.9858778168448,2.544550661409905,0.0,0.8421519849798992,36.92734297104484,36.92734531830525
Chaerhan,df_rotary_dryer_Chaerhan,DLE,Operating,Water scarcity,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,0.7456184707522016,0.39304523000288893,0.7566785315299146,8.37994668765417,0.4977207739975081,10.773009693936684,10.773010070537007
Salar de Centenario,df_rotary_dryer_Salar de Centenario,DLE,Operating,Climate change,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,1.972226554565491,21.83634533329596,15.048444321741538,0.0,2.3012947255881717,41.15831093519116,41.15830963846359
Salar de Centenario,df_rotary_dryer_Salar de Centenario,DLE,Operating,Water scarcity,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,2.0850554040109723,0.48903254837386956,4.601182191031486,0.5430355062345485,0.558098131608065,8.27640378125894,8.276403569876507
East Taijinar,df_rotary_dryer_East Taijinar,DLE,Operating,Climate change,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,3.5686662320687264,14.87704030584947,10.85773771809313,0.0,6.522576579727737,35.82602083573906,35.826021275187486
East Taijinar,df_rotary_dryer_East Taijinar,DLE,Operating,Water scarcity,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,0.35221007355681433,0.22502028871175683,4.83560182903489,0.0,9.260662044857394,14.673494236160856,14.67349513742094
Lakkor Tso,df_rotary_dryer_Lakkor Tso,DLE,Operating,Climate change,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,7.944215275985574,34.701531442547186,2.549530700067501,0.0,0.8428676765917464,46.03814509519201,46.038145853275054
Lakkor Tso,df_rotary_dryer_Lakkor Tso,DLE,Operating,Water scarcity,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,0.7840555727970253,0.5248724520072617,0.7748484752091173,12.908627310918462,0.4978825290044216,15.490286339936286,15.490286670306702
